claim_id,substance_canonical,claim_text_exact,conditions_of_use,requires_source_of,on_hold,claim_category,reg_reference,health_relationship
GB-00115,Biotin,Biotin contributes to the maintenance of normal mucous membranes,The claim may be used only for food which is at least a source of biotin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal skin and mucous membranes
GB-BIOTIN-0016,Biotin,Biotin contributes to the maintenance of normal skin,The claim may be used only for food which is at least a source of biotin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal skin and mucous membranes
GB-CALCIUM-0018,Calcium,Calcium contributes to normal blood clotting,The claim may be used only for food which is at least a source of calcium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,blood coagulation
GB-00234,Calcium,Calcium contributes to normal energy-yielding metabolism,The claim may be used only for food which is at least a source of calcium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,energy-yielding metabolism
GB-CALCIUM-0020,Calcium,Calcium contributes to normal muscle function,The claim may be used only for food which is at least a source of calcium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,muscle function and neurotransmission
GB-CALCIUM-0021,Calcium,Calcium contributes to normal neurotransmission,The claim may be used only for food which is at least a source of calcium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,muscle function and neurotransmission
GB-00355,Calcium,Calcium contributes to the normal function of digestive enzymes,The claim may be used only for food which is at least a source of calcium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,function of digestive enzymes
GB-00237,Calcium,Calcium has a role in the process of cell division and specialisation,The claim may be used only for food which is at least a source of calcium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,regulation of cell division and differentiation
GB-CALCIUM-0024,Calcium,Calcium is needed for the maintenance of normal bones,The claim may be used only for food which is at least a source of calcium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal bones and teeth
GB-CALCIUM-0028,Calcium,Calcium is needed for the maintenance of normal teeth,The claim may be used only for food which is at least a source of calcium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal bones and teeth
GB-CARBOHYDRATE-ELECTROLYTE-SOLUTIONS-0031,Carbohydrate-electrolyte solutions,Carbohydrate-electrolyte solutions contribute to the maintenance of endurance performance during prolonged endurance exercise,"In order to bear the claim carbohydrate-electrolyte solutions should contain 80 350 kcal/L from carbohydrates, and at least 75 % of the energy should be derived from carbohydrates which induce a high glycaemic response, such as glucose, glucose polymers and sucrose. In addition, these beverages should contain between 20 mmol/L (460 mg/L) and 50 mmol/L (1,150 mg/L) of sodium, and have an osmolality between 200 330 mOsm/kg water.",True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of endurance performance
GB-CARBOHYDRATE-ELECTROLYTE-SOLUTIONS-0032,Carbohydrate-electrolyte solutions,Carbohydrate-electrolyte solutions enhance the absorption of water during physical exercise,"In order to bear the claim carbohydrate-electrolyte solutions should contain 80 350 kcal/L from carbohydrates, and at least 75 % of the energy should be derived from carbohydrates which induce a high glycaemic response, such as glucose, glucose polymers and sucrose. In addition, these beverages should contain between 20 mmol/L (460 mg/L) and 50 mmol/L (1,150 mg/L) of sodium, and have an osmolality between 200 330 mOsm/kg water.",True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,enhancement of water absorption during exercise
GB-CARBOHYDRATES-0033,Carbohydrates,Carbohydrates contribute to the maintenance of normal brain function,"In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 130 g of carbohydrates from all sources. The claim may be used for food which contains at least 20 g carbohydrates which are metabolised by humans, excluding polyols, per quantified portion and complies with the nutrition claim LOW SUGARS or WITH NO ADDED SUGARS as listed in the Annex to Regulation (EC) No 1924/2006.       The claim shall not be used on food which is 100% sugars.",True,False,Art.13(1),Commission Regulation (EU) 1018/2013 of 23/10/2013,Maintenance of normal brain function
GB-04663,Chitosan,Chitosan contributes to the maintenance of normal blood cholesterol levels,The claim may be used only for food which provides a daily intake of 3 g of chitosan. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 3 g of chitosan.,False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal blood LDL-cholesterol concentrations
GB-00326,Chloride,Chloride contributes to normal digestion by production of hydrochloric acid in the stomach,The claim may be used only for food which is at least a source of chloride as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.       The claim cannot be used on chloride from the source sodium chloride,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal digestion by production of hydrochloric acid in the stomach
GB-03090,Choline,Choline contributes to normal homocysteine metabolism,"The claim may be used only for food which contains at least 82,5 mg of choline per 100 g or 100 ml or per single portion of food.",False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,Contribution to normal homocysteine metabolism
GB-03186,Choline,Choline contributes to normal lipid metabolism,"The claim may be used only for food which contains at least 82,5 mg of choline per 100 g or 100 ml or per single portion of food.",False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,Contribution to normal lipid metabolism
GB-CHOLINE-0038,Choline,Choline contributes to the maintenance of normal liver function,"The claim may be used only for food which contains at least 82,5 mg of choline per 100 g or 100 ml or per single portion of food.",False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,Maintenance of normal liver function
GB-CHROMIUM-0040,Chromium,Chromium contributes to normal macronutrient metabolism,The claim may be used only for food which is at least a source of trivalent chromium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal macronutrient metabolism
GB-CHROMIUM-0041,Chromium,Chromium contributes to the maintenance of normal blood glucose levels,The claim may be used only for food which is at least a source of trivalent chromium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal blood glucose concentrations
GB-00814,Hydroxypropyl methylcellulose (HPMC),Consumption of Hydroxypropyl methylcellulose with a meal contributes to a reduction in the blood glucose rise after that meal,The claim may be used only for food which contains 4 g of HPMC per quantified portion as part of the meal. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained by consuming 4 g of HPMC as part of the meal.       Warning of choking to be given for people with swallowing difficulties or when ingesting with inadequate fluid intake - advice on taking with plenty of water to ensure substance reaches stomach.,False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,reduction of post-prandial glycaemic responses
GB-02926,Alpha-cyclodextrin,Consumption of alpha-cyclodextrin as part of a starch-containing meal contributes to the reduction of the blood glucose rise after that meal,The claim may be used for food which contains at least 5 g of alpha-cyclodextrin per 50 g of starch in a quantified portion as part of the meal. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained by consuming the alpha-cyclodextrin as part of the meal.,True,False,Art.13(1),Commission Regulation (EU) 536/2013 of 11/06/2013,Reduction of post-prandial glycaemic responses
GB-00830,Arabinoxylan produced from wheat endosperm,Consumption of arabinoxylan as part of a meal contributes to a reduction of the blood glucose rise after that meal,The claim may be used only for food which contains at least 8 g of arabinoxylan (AX)-rich fibre produced from wheat endosperm (at least 60 % AX by weight) per 100 g of available carbohydrates in a quantified portion as part of the meal. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained by consuming the arabinoxylan (AX)-rich fibre produced from wheat endosperm as part of the meal.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,reduction of post-prandial glycaemic responses
GB-BETA-GLUCANS-FROM-OATS-AND-BARLEY-0047,Beta-glucans from oats and barley,Consumption of beta-glucans from oats or barley as part of a meal contributes to the reduction of the blood glucose rise after that meal,The claim may be used only for food which contains at least 4 g of beta-glucans from oats or barley for each 30 g of available carbohydrates in a quantified portion as part of the meal. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained by consuming the beta-glucans from oats or barley as part of the meal.,False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,reduction of post-prandial glycaemic responses
GB-00558,Fructose,Consumption of foods containing fructose leads to a lower blood glucose rise compared to foods containing sucrose or glucose,"In order to bear the claim, glucose and/or sucrose should be replaced by fructose in sugar-sweetened foods or drinks so that the reduction in content of glucose and/or sucrose, in these foods or drinks, is at least 30%.",True,False,Art.13(1),Commission Regulation (EU) 536/2013 of 11/06/2013,Reduction of post-prandial glycaemic responses
GB-SUGAR-REPLACERS-I-E-INTENSE-SWEETENERS-XYLITOL-SORBITOL-MANNITOL-MALTITOL-LACTITOL-ISOMALT-ERYTHRITOL-SUCRALOSE-AND-POLYDEXTROSE-D-TAGATOSE-AND-ISOMALTULOSE-0049,"Sugar replacers, i.e. intense sweeteners;
xylitol, sorbitol, mannitol, maltitol, lactitol, isomalt, erythritol, sucralose and polydextrose; D-tagatose and isomaltulose","Consumption of foods/drinks containing &lt;name of sugar replacer&gt; instead of sugar* contributes to the maintenance of tooth mineralisation

* In the case of D-tagatose and isomaltulose this should read ""other sugars""","In order to bear the claim, sugars should be replaced in foods or drinks (which reduce plaque pH below 5.7) by sugar replacers, i.e. intense sweeteners, xylitol, sorbitol, mannitol, maltitol, lactitol, isomalt, erythritol, D-tagatose, isomaltulose, sucralose or polydextrose, or a combination of them, in amounts such that consumption of such foods or drinks does not lower plaque pH below 5.7 during and up to 30 minutes after consumption",True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of tooth mineralisation by decreasing tooth demineralisation
GB-SUGAR-REPLACERS-I-E-INTENSE-SWEETENERS-XYLITOL-SORBITOL-MANNITOL-MALTITOL-LACTITOL-ISOMALT-ERYTHRITOL-SUCRALOSE-AND-POLYDEXTROSE-D-TAGATOSE-AND-ISOMALTULOSE-0051,"Sugar replacers, i.e. intense sweeteners;
xylitol, sorbitol, mannitol, maltitol, lactitol, isomalt, erythritol, sucralose and polydextrose; D-tagatose and isomaltulose","Consumption of foods/drinks containing &lt;name of sugar replacer&gt; instead of sugar* induces a lower blood glucose rise after their consumption compared to sugar-containing foods/drinks

* In the case of D-tagatose and isomaltulose this should read ""other sugars""","In order to bear the claim, sugars should be replaced in foods or drinks by sugar replacers, i.e. intense sweeteners, xylitol, sorbitol, mannitol, maltitol, lactitol, isomalt, erythritol, sucralose or polydextrose, or a combination of them, so that foods or drinks contain reduced amounts of sugars by at least the amount referred to in the claim REDUCED [NAME OF NUTRIENT] as listed in the Annex to Regulation (EC) No 1924/2006.

In the case of D-tagatose and isomaltulose, they should replace equivalent amounts of other sugars in the same proportion as that referred to in the claim REDUCED [NAME OF NUTRIENT] as listed in the Annex to Regulation (EC) No 1924/2006.",True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,reduction of post-prandial glycaemic responses
GB-00786,Pectins,Consumption of pectins with a meal contributes to the reduction of the blood glucose rise after that meal,"The claim may be used only for food which contains 10 g of pectins per quantified portion. In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained by consuming 10 g of pectins as part of the meal.       Warning of choking to be given for people with swallowing difficulties or when ingesting with inadequate fluid intake - advice on taking with plenty of water to ensure substance reaches stomach.",False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,Reduction of post-prandial glycaemic responses
GB-COPPER-0054,Copper,Copper contributes to maintenance of normal connective tissues,The claim may be used only for food which is at least a source of copper as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of connective tissues
GB-COPPER-0055,Copper,Copper contributes to normal energy-yielding metabolism,The claim may be used only for food which is at least a source of copper as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,Contribution to normal energy-yielding metabolism
GB-COPPER-0057,Copper,Copper contributes to normal functioning of the nervous system,The claim may be used only for food which is at least a source of copper as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,Maintenance of the normal function of the nervous system
GB-COPPER-0059,Copper,Copper contributes to normal hair pigmentation,The claim may be used only for food which is at least a source of copper as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of skin and hair pigmentation
GB-COPPER-0060,Copper,Copper contributes to normal iron transport in the body,The claim may be used only for food which is at least a source of copper as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,iron transport
GB-COPPER-0061,Copper,Copper contributes to normal skin pigmentation,The claim may be used only for food which is at least a source of copper as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of skin and hair pigmentation
GB-COPPER-0062,Copper,Copper contributes to the normal function of the immune system,The claim may be used only for food which is at least a source of copper as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,Maintenance of the normal function of the immune system
GB-COPPER-0064,Copper,Copper contributes to the protection of cells from oxidative stress,The claim may be used only for food which is at least a source of copper as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,"protection of DNA, proteins and lipids from oxidative damage"
GB-CREATINE-0065,Creatine,"Creatine increases physical performance in successive bursts of short-term, high intensity exercise",The claim may be used only for food which provides a daily intake of 3 g of creatine. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 3 g of creatine.       The claim may be used only for foods targeting adults performing high intensity exercise,False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,"increase in physical performance during short-term, high intensity, repeated exercise bouts"
GB-DOCOSAHEXAENOIC-ACID-AND-EICOSAPENTAENOIC-ACID-DHA-EPA--0066,Docosahexaenoic acid and Eicosapentaenoic acid (DHA/EPA),DHA and EPA contribute to the maintenance of normal blood pressure,"The claim may be used only for food which provides a daily intake of 3 g of EPA and DHA. In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 3 g of EPA and DHA. When the claim is used on food supplements and/or fortified foods information shall also be given to consumers not to exceed a supplemental daily intake of 5 g of EPA and DHA combined.       The claim shall not be used for foods targeting children.",False,False,Art.13(1),Commission Regulation (EU) 536/2013 of 11/06/2013,Maintenance of normal blood pressure
GB-DOCOSAHEXAENOIC-ACID-AND-EICOSAPENTAENOIC-ACID-DHA-EPA--0068,Docosahexaenoic acid and Eicosapentaenoic acid (DHA/EPA),DHA and EPA contribute to the maintenance of normal blood triglyceride levels,"The claim may be used only for food which provides a daily intake of 2 g of EPA and DHA. In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 2 g of EPA and DHA. When the claim is used on food supplements and/or fortified foods information shall also be given to consumers not to exceed a supplemental daily intake of 5 g of EPA and DHA combined.       The claim shall not be used for foods targeting children.",False,False,Art.13(1),Commission Regulation (EU) 536/2013 of 11/06/2013,Maintenance of normal (fasting) blood concentrations of triglycerides
GB-DOCOSAHEXAENOIC-ACID-DHA--0070,Docosahexaenoic acid (DHA),DHA contributes to maintenance of normal brain function,The claim may be used only for food which contains at least 40 mg of DHA per 100 g and per 100 kcal. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 250 mg of DHA.,False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal brain function
GB-DOCOSAHEXAENOIC-ACID-DHA--0072,Docosahexaenoic acid (DHA),DHA contributes to the maintenance of normal blood triglyceride levels,"The claim may be used only for food which provides a daily intake of 2 g of DHA and which contains DHA in combination with eicosapentaenoic acid (EPA). In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 2 g of DHA. When the claim is used on food supplements and/or fortified foods information shall also be given to consumers not to exceed a supplemental daily intake of 5 g of EPA and DHA combined.       The claim shall not be used for foods targeting children.",False,False,Art.13(1),Commission Regulation (EU) 536/2013 of 11/06/2013,Maintenance of normal (fasting) blood concentrations of triglycerides
GB-DOCOSAHEXAENOIC-ACID-DHA--0073,Docosahexaenoic acid (DHA),DHA contributes to the maintenance of normal vision,The claim may be used only for food which contains at least 40 mg of DHA per 100 g and per 100 kcal. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 250 mg of DHA.,False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal vision
GB-01164,Dried plums of 'prune' cultivars (<em>Prunus domestica</em> L.),Dried plums/prunes contribute to normal bowel function,"The claim may be used only for food which provides a daily intake of 100 g of dried plums (prunes). In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 100 g of dried plums (prunes).",True,False,Art.13(1),Commission Regulation (EU) 536/2013 of 11/06/2013,Maintenance of normal bowel function
GB-EICOSAPENTAENOIC-ACID-AND-DOCOSAHEXAENOIC-ACID-EPA-DHA--0077,Eicosapentaenoic acid and docosahexaenoic acid (EPA/DHA),EPA and DHA contribute to the normal function of the heart,The claim may be used only for food which is at least a source of EPA and DHA as referred to in the claim SOURCE OF OMEGA 3 FATTY ACIDS as listed in the Annex to Regulation (EC) No 1924/2006. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 250 mg of EPA and DHA.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal cardiac function
GB-FLUORIDE-0079,Fluoride,Fluoride contributes to the maintenance of tooth mineralisation,The claim may be used only for food which is at least a source of fluoride as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of tooth mineralisation
GB-02882,Folate,Folate contributes to maternal tissue growth during pregnancy,The claim may be used only for food which is at least a source of folate as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maternal tissue growth during pregnancy
GB-FOLATE-0082,Folate,Folate contributes to normal amino acid synthesis,The claim may be used only for food which is at least a source of folate as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal amino acid synthesis
GB-00079,Folate,Folate contributes to normal blood formation,The claim may be used only for food which is at least a source of folate as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,blood formation
GB-00080,Folate,Folate contributes to normal homocysteine metabolism,The claim may be used only for food which is at least a source of folate as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,homocysteine metabolism
GB-FOLATE-0085,Folate,Folate contributes to normal psychological function,The claim may be used only for food which is at least a source of folate as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal psychological functions
GB-00091,Folate,Folate contributes to the normal function of the immune system,The claim may be used only for food which is at least a source of folate as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,function of the immune system
GB-00084,Folate,Folate contributes to the reduction of tiredness and fatigue,The claim may be used only for food which is at least a source of folate as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,reduction of tiredness and fatigue
GB-FOLATE-0088,Folate,Folate has a role in the process of cell division,The claim may be used only for food which is at least a source of folate as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,cell division
GB-GLUCOMANNAN-KONJAC-MANNAN--0090,Glucomannan (konjac mannan),Glucomannan contributes to the maintenance of normal blood cholesterol levels,The claim may be used only for food which provides a daily intake of 4 g of glucomannan. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 4 g of glucomannan.       Warning of choking to be given for people with swallowing difficulties or when ingesting with inadequate fluid intake - advice on taking with plenty of water to ensure substance reaches stomach.,False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal blood cholesterol concentrations
